,comment,agree
0,多少小微型创业公司死在这些图片公司手里。几元的图片通过法院变现一张几千元不等的赔偿。还有北京优图，也需要整顿下了。,686
1,商标公司名号里不是不能用国家名称嘛。这家二货公司明显违法嘛。每次它卖国家赚私利的同时顺带污染以下国名，甚是可恶....,572
2,损害的是法律的尊严。获得的是企业利益。,476
3,真不知道谁允许这家公司用中国命名的？该取消了。,3
4,视觉中国确实可耻，三观不正如何承担责任？做不好就倒闭吧，别期望蒙混过关，即使这关过了，版权的关你还是过不了，法律的关你还是过不了。,0
5,视把敲诈勒索做大做强[ok],15
6,依法治国的重要性,4
7,损害的是法律的尊严。获得的是企业利益。,476
8,如果够聪明，视觉老板该明白，你公司有卧底了，而且是高层。。如果这都看不出，大叔你回家抱孩子去吧你还不如我一个初中毕业生。。。。[哈哈][哈哈][哈哈][哈哈][哈哈],4
9,竟然拿“中国”唬人！,15
10,违法的赚钱这条道这被堵死了，所以现在运营情况不太好啊。,374
11,这是一家敲诈勒索的公司,20
12,互联网行业大多数都是打着高科技的幌子 实质干行骗的勾当 国内对于互联网企业的主业认识不清 一概认为是高科技企业是非常可笑的 实际上百度是广告公司 企鹅是通信公司 阿里是菜市场收管理费的 而且还都是在国内赚钱给外国人分红的 但是对他们的企业性质认识不清导致上面很多决策都是错误,310
